departure_airport_name,departure_airport_code,arrival_airport_name,arrival_airport_code,airline_name,airline_assured_name,departure_city_name,departure_city_code,arrival_city_name,arrival_city_code,stopover_count,stopover_city_name,stopover_city_code,stopover_airport_name,stopover_airport_code,stopover_country,departure_country_name,departure_country_code,arrival_country_name,arrival_country_code,distance
Aéroport de Charles De Gaulle,CDG,Aéroport de Biarritz Parme,BIQ,Air France,HOP!,Paris,PAR,Biarritz,BIQ,0,,,,,,France,FR,France,FR,692
Aéroport de Paris-Orly,ORY,Aéroport de Biarritz Parme,BIQ,Air France,,Paris,PAR,Biarritz,BIQ,0,,,,,,France,FR,France,FR,657
Aéroport de Paris-Orly,ORY,Aéroport de Biarritz Parme,BIQ,Air France,HOP!,Paris,PAR,Biarritz,BIQ,0,,,,,,France,FR,France,FR,657
Aéroport de Charles De Gaulle,CDG,Aéroport de Bilbao,BIO,Air France,HOP!,Paris,PAR,Bilbao,BIO,0,,,,,,France,FR,Espagne et Îles Canaries,ES,763
Aéroport de Charles De Gaulle,CDG,Aéroport de Billund,BLL,Air France,HOP!,Paris,PAR,Billund,BLL,0,,,,,,France,FR,Danemark,DK,872
Aéroport de Charles De Gaulle,CDG,Aéroport International Birmingham,BHX,Air France,,Paris,PAR,Birmingham,BHX,0,,,,,,France,FR,Royaume-Uni,GB,488
Aéroport de Paris-Orly,ORY,Aéroport de Rabil,BVC,Transavia France,,Paris,PAR,Boa Vista Island,BVC,0,,,,,,France,FR,Cap-Vert,CV,4292
Aéroport de Charles De Gaulle,CDG,Aéroport d' Eldorado,BOG,Air France,,Paris,PAR,Bogota,BOG,0,,,,,,France,FR,Colombie,CO,8653
Aéroport de Charles De Gaulle,CDG,Aéroport de Guglielmo Marconi,BLQ,Air France,,Paris,PAR,Bologne,BLQ,0,,,,,,France,FR,Italie,IT,832
Aéroport de Charles De Gaulle,CDG,Aéroport de Bordeaux,BOD,Air France,,Paris,PAR,Bordeaux,BOD,0,,,,,,France,FR,France,FR,528
Aéroport de Paris-Orly,ORY,Aéroport de Bordeaux,BOD,Air France,,Paris,PAR,Bordeaux,BOD,0,,,,,,France,FR,France,FR,492
Aéroport de Charles De Gaulle,CDG,Aéroport International Logan,BOS,Air France,,Paris,PAR,"Boston, MA",BOS,0,,,,,,France,FR,États-Unis d'Amérique,US,5541
Aéroport de Charles De Gaulle,CDG,Aéroport de Maya Maya,BZV,Air France,,Paris,PAR,Brazzaville,BZV,0,,,,,,France,FR,Congo,CG,6056
Aéroport de Charles De Gaulle,CDG,Aéroport de Bremen,BRE,Air France,HOP!,Paris,PAR,Brême,BRE,0,,,,,,France,FR,Allemagne,DE,626
Aéroport de Charles De Gaulle,CDG,Aéroport de Guipavas,BES,Air France,,Paris,PAR,Brest,BES,0,,,,,,France,FR,France,FR,515
Aéroport de Paris-Orly,ORY,Aéroport de Guipavas,BES,Air France,HOP!,Paris,PAR,Brest,BES,0,,,,,,France,FR,France,FR,501
Aéroport de Paris-Orly,ORY,Aéroport de Guipavas,BES,Air France,,Paris,PAR,Brest,BES,0,,,,,,France,FR,France,FR,501
